response_date,percent_mc
2020-06-02,0.7758233287506392
2020-06-03,0.7815392772863171
2020-06-04,0.7760542614386069
2020-06-05,0.7807161261845053
2020-06-06,0.7760542614386069
2020-06-07,0.781539277286317
2020-06-08,0.7758233287506391
2020-06-09,0.7745496364159943
2020-06-10,0.7671916517555216
2020-06-11,0.7805835918097154
2020-06-12,0.783535541820489
2020-06-13,0.7940797595075637
2020-06-14,0.8066862006854336
2020-06-15,0.8125191051287343
2020-06-16,0.8105542359871977
2020-06-17,0.8178261102541459
2020-06-18,0.8079939794712928
2020-06-19,0.8080294799473219
2020-06-20,0.8059886636207914
2020-06-21,0.7853236143843135
2020-06-22,0.7777692204553409
2020-06-23,0.770938009651601
2020-06-24,0.7632596907993077
2020-06-25,0.7626011715776655
2020-06-26,0.7639554577855407
2020-06-27,0.7732212330611682
2020-06-28,0.7835997434396785
2020-06-29,0.798681435940726
2020-06-30,0.8134618462101308
2020-07-01,0.8308583380459034
2020-07-02,0.8378762261728141
2020-07-03,0.8430449603331448
2020-07-04,0.8374763160838409
2020-07-05,0.8396157225710734
2020-07-06,0.8388088371488035
2020-07-07,0.8465375242830107
2020-07-08,0.8411453535450901
2020-07-09,0.846258381614445
2020-07-10,0.847718326322922
2020-07-11,0.8490470862499948
2020-07-12,0.8582668067468893
2020-07-13,0.864444864206998
2020-07-14,0.8517085740657862
2020-07-15,0.8592451680984085
2020-07-16,0.8650873502323838
2020-07-17,0.8747680936832286
2020-07-18,0.883457366214581
2020-07-19,0.8792410963733113
2020-07-20,0.8776462898139658
2020-07-21,0.885246923696896
2020-07-22,0.882738068915314
2020-07-23,0.8753425441559376
2020-07-24,0.8726242725822977
2020-07-25,0.8759159118186374
2020-07-26,0.8844193131791815
2020-07-27,0.8788279924695841
2020-07-28,0.8799061918765745
2020-07-29,0.8816841757974155
2020-07-30,0.8915352282224036
2020-07-31,0.8910731053113011
2020-08-01,0.877391228066021
2020-08-02,0.8780681157365121
2020-08-03,0.8819419876606794
2020-08-04,0.8851586258416945
2020-08-05,0.8852099102135365
2020-08-06,0.8838485264992115
2020-08-07,0.8847440273947125
2020-08-08,0.9041676508797728
2020-08-09,0.8989556158169916
2020-08-10,0.8998140716065184
2020-08-11,0.8905767849605939
2020-08-12,0.8894305767772007
2020-08-13,0.8873117805407574
2020-08-14,0.8859776938408169
2020-08-15,0.8707999151235295
2020-08-16,0.8707999151235295
2020-08-17,0.874531582224111
2020-08-18,0.8832504271576964
2020-08-19,0.8843966353410898
2020-08-20,0.8851389612569635
2020-08-21,0.8862856996682897
2020-08-22,0.8889190110573615
2020-08-23,0.8855612576996081
2020-08-24,0.8870398520718854
2020-08-25,0.8898100471987684
2020-08-26,0.894003602236601
2020-08-27,0.8922165693936676
2020-08-28,0.888711213989578
2020-08-29,0.8932463613818683
2020-08-30,0.8962433643788713
2020-08-31,0.8916047786885904
2020-09-01,0.8853956283617931
2020-09-02,0.8721672912468164
2020-09-03,0.8712021546884594
2020-09-04,0.8737012684778958
2020-09-05,0.8670178933734679
2020-09-06,0.8702646466202213
2020-09-07,0.8699295872233281
2020-09-08,0.8690351700505183
2020-09-09,0.8805303885436787
2020-09-10,0.8823280259345364
2020-09-11,0.879028018123867
2020-09-12,0.8872986948155963
2020-09-13,0.8798775445373032
2020-09-14,0.8754084151133817
2020-09-15,0.878659872663318
2020-09-16,0.879528898113349
2020-09-17,0.8767256903921085
2020-09-18,0.8766718835586406
2020-09-19,0.8594806002656623
2020-09-20,0.8666612503034553
2020-09-21,0.8678874387153555
2020-09-22,0.86539034231582
2020-09-23,0.8591558806596716
2020-09-24,0.853854789578939
2020-09-25,0.8618314823657584
2020-09-26,0.8662814529174238
2020-09-27,0.8550191702265696
2020-09-28,0.8605371196025923
2020-09-29,0.8628674134222478
2020-09-30,0.8628369502294005
2020-10-01,0.8652594308495556
2020-10-02,0.8688267496067478
2020-10-03,0.874577180889094
2020-10-04,0.8774219551624397
2020-10-05,0.8659632733290505
2020-10-06,0.8646354857750591
2020-10-07,0.8723943415297504
2020-10-08,0.8712496528850617
2020-10-09,0.8658740158638552
2020-10-10,0.8723722864853832
2020-10-11,0.8797315938446905
2020-10-12,0.8939636024376013
2020-10-13,0.8959737297968158
2020-10-14,0.8883399070369425
2020-10-15,0.8980291425326298
2020-10-16,0.8912442128478151
2020-10-17,0.887388997598297
2020-10-18,0.884358694567994
2020-10-19,0.8708555489488441
2020-10-20,0.8761762486572989
2020-10-21,0.8805480070977734
2020-10-22,0.8739984890275181
2020-10-23,0.8809642505387341
2020-10-24,0.8701860262055228
2020-10-25,0.876513032532529
2020-10-26,0.8914421568916322
2020-10-27,0.8851833167219009
2020-10-28,0.884091164107001
2020-10-29,0.8897931796612333
2020-10-30,0.8853435309492895
2020-10-31,0.9074292883291644
2020-11-01,0.9005611564610326
2020-11-02,0.8866038494002774
2020-11-03,0.8902879387394438
2020-11-04,0.9007445966501328
2020-11-05,0.8903975196993714
2020-11-06,0.8912757398398867
2020-11-07,0.8832956247169145
2020-11-08,0.8852797517010415
2020-11-09,0.8963594310975525
2020-11-10,0.8954914534853889
2020-11-11,0.8881711340532683
2020-11-12,0.8933945644492188
2020-11-13,0.9033776915583304
2020-11-14,0.8929226898855299
2020-11-15,0.897973194936035
2020-11-16,0.9000420585388134
2020-11-17,0.8995181014931171
2020-11-18,0.8978061861231896
2020-11-19,0.9049343962589186
2020-11-20,0.8973863340848722
2020-11-21,0.9070760296352236
2020-11-22,0.9072375596474996
2020-11-23,0.9052001277593216
2020-11-24,0.8984525275334605
2020-11-25,0.8986721463800355
2020-11-26,0.8983753003689038
2020-11-27,0.9008103653039689
2020-11-28,0.8900960795896831
2020-11-29,0.8922282757517299
2020-11-30,0.8956769453874499
2020-12-01,0.9031420366871276
2020-12-02,0.9022418786441124
2020-12-03,0.9024659682799668
2020-12-04,0.8960108849018065
2020-12-05,0.9014746375670516
2020-12-06,0.8951224698342869
2020-12-07,0.8933832019079686
2020-12-08,0.8904293888037795
2020-12-09,0.896479961725518
2020-12-10,0.8961404319742237
2020-12-11,0.9076947106356285
2020-12-12,0.9178559579703832
2020-12-13,0.9225328287186824
2020-12-14,0.9266865697145288
2020-12-15,0.931853708340314
2020-12-16,0.929374563990004
2020-12-17,0.9288461409263696
2020-12-18,0.9238371332333128
2020-12-19,0.925781257657276
2020-12-20,0.9254033287079184
2020-12-21,0.918845741558226
2020-12-22,0.9165652839206256
2020-12-23,0.9190174613728028
2020-12-24,0.9168041816947344
2020-12-25,0.9128942844024844
2020-12-26,0.9012049509192878
2020-12-27,0.9117869615012985
2020-12-28,0.9147522899684516
2020-12-29,0.9185121272366924
2020-12-30,0.922308331032896
2020-12-31,0.9221478173892363
2021-01-01,0.9300259686497404
2021-01-02,0.922981581435682
2021-01-03,0.9084043219604636
2021-01-04,0.902381634185951
2021-01-05,0.8926723891825883
2021-01-06,0.88448058099078
2021-01-07,0.8896503710722876
2021-01-08,0.8807217996437162
2021-01-09,0.9002687488581845
2021-01-10,0.8947567226191174
2021-01-11,0.8928919207543157
2021-01-12,0.9009671788295736
2021-01-13,0.9029663844432372
2021-01-14,0.9027820843535446
2021-01-15,0.907147163718624
2021-01-16,0.8996775091901458
2021-01-17,0.9054810806187172
